Year,Petroleum MMmt CO2,Natural Gas MMmt CO2,Coal MMmt CO2,Other MMmt CO2,Total MMmt CO2
2050,2240.569824,1923.587158,631.452087,11.304279,4806.913574
2049,2229.585693,1906.41626,632.114136,11.283789,4779.399902
2048,2219.876709,1892.23584,630.106323,11.265672,4753.484375
2047,2209.763672,1878.144043,626.72052,11.239237,4725.867676
2046,2201.794922,1866.414551,627.662415,11.212643,4707.084473
2045,2195.33252,1854.168457,630.39386,11.180042,4691.075195
2044,2185.241943,1840.999268,642.297852,11.151327,4679.69043
2043,2177.89502,1825.04895,646.095154,11.121115,4660.160156
2042,2169.441162,1803.304688,651.193848,11.098821,4635.038086
2041,2164.21167,1784.940918,649.450134,11.071035,4609.67334
2040,2157.781982,1774.251343,652.67688,11.040569,4595.750488
2039,2155.19165,1757.414795,655.31189,11.00583,4578.924316
2038,2152.097168,1741.036865,660.494995,10.968085,4564.597168
2037,2150.614502,1724.381836,677.7229,10.929355,4563.648438
2036,2149.55249,1712.237061,686.527588,10.886249,4559.203613
2035,2148.656738,1705.086304,688.291504,10.844797,4552.879395
2034,2146.858398,1705.332764,702.227356,10.803411,4565.22168
2033,2144.870605,1698.314941,704.080933,10.770414,4558.037109
2032,2146.392578,1694.447998,706.628601,10.735356,4558.20459
2031,2149.87207,1691.250488,718.868652,10.708067,4570.699219
2030,2158.208496,1683.333496,731.331055,10.674689,4583.547852
2029,2159.925293,1689.629395,740.908081,10.638318,4601.101074
2028,2167.089355,1687.022217,741.5224,10.602878,4606.236816
2027,2173.197021,1692.767578,738.502441,10.558715,4615.025391
2026,2183.594238,1692.099609,763.681335,10.529329,4649.904297
2025,2187.734131,1675.97583,748.666687,10.502203,4622.878906
2024,2194.753906,1636.765381,845.770691,10.471384,4687.76123
2023,2195.963867,1624.368652,937.862549,10.444221,4768.639648
2022,2185.958496,1584.311157,1063.994995,10.438307,4844.703125
2021,2122.328369,1575.859863,1016.419556,10.422738,4725.030762
2020,2015.744019,1675.207397,861.154663,10.426985,4562.532715
2019,,,,,
