Year,Petroleum quads,Natural Gas quads,Coal quads,Total quads
2050,19.042248,9.359973,2.450896,30.853117
2049,19.270994,9.367388,2.411343,31.049725
2048,19.502411,9.369512,2.411416,31.283337
2047,19.500134,9.327065,2.411509,31.238707
2046,19.459276,9.306732,2.411624,31.177633
2045,19.810007,9.282983,2.411762,31.504753
2044,20.208075,9.283292,2.411924,31.903292
2043,20.479012,9.246689,2.412112,32.137814
2042,20.547243,9.22875,2.412325,32.18832
2041,20.448996,9.216126,2.412566,32.07769
2040,20.689106,9.226341,2.429992,32.34544
2039,21.126307,9.191885,2.418903,32.737095
2038,20.797434,9.177814,2.470968,32.446213
2037,20.96241,9.167981,2.471332,32.601723
2036,21.133879,9.172683,2.471732,32.778294
2035,21.070436,9.138243,2.507053,32.715733
2034,21.159204,9.126082,2.472641,32.757927
2033,20.94842,9.108972,2.480733,32.538124
2032,21.058119,9.095757,2.531214,32.685089
2031,21.58601,9.060925,2.484524,33.131458
2030,21.324263,8.929964,2.48231,32.736538
2029,21.683517,8.656362,2.502053,32.84193
2028,21.305519,8.440644,2.533604,32.279766
2027,21.543747,8.23489,2.533531,32.312168
2026,21.967205,8.201365,2.534353,32.702923
2025,21.38072,7.858012,2.523235,31.761967
2024,21.132919,7.264711,2.517858,30.915489
2023,20.111107,6.777713,2.496034,29.384855
2022,18.477732,6.563725,2.262434,27.30389
2021,17.116541,6.363743,1.95567,25.435953
2020,16.430902,5.307881,1.813883,23.552666
2019,,,,
