Year,Hydropower GW,Geothermal GW,Municipal Waste GW,Wood and Other Biomass GW,Solar Thermal GW,Solar Photovoltaic GW,Wind GW,Offshore Wind GW,Total GW
2050,79.322174,6.725523,6.835033,2.899467,1.7581,351.26239,217.016083,23.382401,689.201172
2049,79.322174,6.625534,6.790704,2.894101,1.7581,342.276337,214.353851,23.382401,677.403198
2048,79.322174,6.536773,6.704029,2.894101,1.7581,332.300903,212.20462,23.382401,665.103088
2047,79.322174,6.409772,6.61836,2.894101,1.7581,324.429932,211.976227,23.382401,656.791077
2046,79.322174,6.277175,6.532732,2.894101,1.7581,310.173523,210.296906,23.382401,640.637146
2045,79.322174,6.118074,6.446839,2.894101,1.7581,296.576477,209.134735,23.382401,625.632874
2044,79.322174,5.977468,6.361537,2.894101,1.7581,284.568359,207.379395,23.382401,611.643494
2043,79.322174,5.831874,6.278165,2.894101,1.7581,276.528076,205.95929,23.382401,601.954163
2042,79.322174,5.720286,6.157146,2.894101,1.7581,269.737305,205.327332,23.382401,594.298828
2041,79.322174,5.581815,6.037936,2.894101,1.7581,263.973175,205.209442,23.382401,588.159119
2040,79.322174,5.432568,5.922102,2.894101,1.7581,253.784393,204.529999,23.382401,577.025818
2039,79.322174,5.263786,5.80953,2.894101,1.7581,248.549347,203.952515,23.382401,570.931946
2038,79.322174,5.076035,5.699796,2.894101,1.7581,243.797211,203.766998,23.382401,565.696838
2037,79.322174,4.888097,5.590003,2.894101,1.7581,235.379745,202.981232,23.382401,556.195862
2036,79.322174,4.676065,5.441081,2.894101,1.7581,227.839172,202.759827,23.382401,548.072937
2035,79.322174,4.4721,5.2932,2.894101,1.7581,220.887482,202.414459,23.382401,540.424011
2034,79.322174,4.266525,5.150436,2.894101,1.7581,210.899506,201.902374,15.182402,521.37561
2033,79.322174,4.106798,5.011357,2.894101,1.7581,203.878525,201.389832,9.982401,508.343292
2032,79.322174,3.934633,4.881448,2.894101,1.7581,193.93335,200.779602,9.982401,497.485809
2031,79.322174,3.798429,4.762001,2.894101,1.7581,183.329376,200.084442,9.982401,485.93103
2030,79.322174,3.634983,4.627747,2.894101,1.7581,175.407501,199.52478,9.982401,477.151764
2029,79.322174,3.456867,4.497925,2.894101,1.7581,167.445709,199.17981,2.8824,461.437073
2028,79.322174,3.285188,4.371572,2.894101,1.7581,153.220001,198.746063,2.8824,446.479584
2027,79.337975,3.068016,4.282406,3.047101,1.7581,145.934479,198.149292,0.8824,436.459778
2026,79.337975,2.921669,4.157206,3.047101,1.7581,130.408463,197.182434,0.8824,419.695343
2025,79.337975,2.785209,4.037838,3.047101,1.7581,110.376076,196.468384,0.8824,398.693085
2024,79.342476,2.635209,3.883858,3.047101,1.7581,92.365059,196.155396,0.8824,380.06958
2023,79.294212,2.505,3.717828,3.063101,1.7581,82.12545,163.074219,0.8824,336.420288
2022,79.317009,2.505,3.585594,3.044101,1.7581,76.383865,136.609299,0.4824,303.685333
2021,79.297707,2.505,3.582594,3.000901,1.7581,60.402,134.072403,0.0413,284.660004
2020,79.197906,2.463,3.481601,2.998901,1.7581,48.478703,126.500595,0.0293,264.908081
2019,,,,,,,,,
