Year,Liquid Fuels quads,Natural Gas quads,Coal quads,Nuclear quads,Hydropower quads,Biomass quads,Other Renewable Energy quads,Other quads,Total quads
2050,39.076946,36.697468,6.602168,6.206151,2.294672,3.40409,14.111439,0.271168,108.664101
2049,38.846153,36.369923,6.609603,6.201306,2.301498,3.3764,13.876656,0.272144,107.853691
2048,38.625595,36.098427,6.58667,6.197953,2.305486,3.349808,13.63086,0.276266,107.071068
2047,38.431534,35.830391,6.55148,6.195179,2.307807,3.32637,13.417382,0.276502,106.336655
2046,38.264538,35.608372,6.560915,6.271593,2.311928,3.292362,13.085091,0.277677,105.67247
2045,38.120132,35.376923,6.586837,6.267138,2.320297,3.275532,12.793443,0.278849,105.01915
2044,37.93605,35.127544,6.706825,6.25858,2.325159,3.249727,12.532876,0.280777,104.417542
2043,37.787617,34.825249,6.746136,6.250682,2.337715,3.228622,12.353426,0.281928,103.811378
2042,37.630795,34.412781,6.797472,6.241549,2.342157,3.208736,12.17758,0.283097,103.094162
2041,37.487339,34.064018,6.778165,6.232081,2.348216,3.191029,12.046887,0.28616,102.433907
2040,37.385254,33.862041,6.811887,6.21899,2.355047,3.177014,11.842293,0.289304,101.941841
2039,37.356689,33.544769,6.835886,6.306286,2.362827,3.166984,11.724011,0.291298,101.588745
2038,37.286739,33.235233,6.887329,6.306286,2.375608,3.160039,11.624607,0.290388,101.166237
2037,37.220711,32.91687,7.059906,6.304083,2.384213,3.150543,11.435293,0.291689,100.763313
2036,37.147324,32.68502,7.147561,6.301876,2.388505,3.148295,11.237376,0.294048,100.349998
2035,37.087257,32.5485,7.161941,6.369705,2.394839,3.146917,10.985343,0.298695,99.993195
2034,37.00029,32.550209,7.306964,6.355014,2.399385,3.141158,10.543778,0.300455,99.597244
2033,36.908508,32.414223,7.327614,6.530007,2.404969,3.141732,10.224599,0.292457,99.24411
2032,36.873806,32.338593,7.354741,6.610725,2.4136,3.134936,9.991811,0.294242,99.012459
2031,36.874088,32.271862,7.484289,6.601872,2.424501,3.133748,9.771411,0.285123,98.846901
2030,36.883015,32.117641,7.613598,6.58972,2.427217,3.118289,9.519995,0.295275,98.564751
2029,36.865227,32.231201,7.719214,6.581889,2.431923,3.106789,9.104793,0.286275,98.327309
2028,36.903244,32.177483,7.732041,6.745667,2.435147,3.108487,8.790948,0.288722,98.18174
2027,36.931938,32.282093,7.705212,6.742038,2.453376,3.115449,8.57516,0.281183,98.086449
2026,36.995777,32.264912,7.970859,6.889598,2.470024,3.110756,8.231225,0.267595,98.200737
2025,37.000061,31.956127,7.815064,7.788656,2.542098,3.101318,7.982485,0.26316,98.448975
2024,36.894146,31.211485,8.84362,7.872171,2.57405,3.081933,7.453558,0.272442,98.203407
2023,36.766998,30.970762,9.824945,7.839454,2.63492,3.064699,6.36688,0.265585,97.734245
2022,36.490887,30.213411,11.152017,7.702336,2.564318,3.049127,5.566115,0.270721,97.008934
2021,35.556072,30.0438,10.624501,7.952193,2.482638,3.026414,5.134657,0.281541,95.101814
2020,33.549446,31.89448,8.987652,8.205338,2.534411,3.052451,4.426096,0.274342,92.924217
2019,,,,,,,,,
