Year,OECD: Total OECD quad Btu,Non-OECD: Total Non-OECD quad Btu
2050,281.2746,605.0523
2049,279.1768,598.3663
2048,277.3364,591.5493
2047,275.4316,584.8421
2046,273.6374,577.739
2045,271.9676,570.7854
2044,270.2712,563.169
2043,268.6221,555.4405
2042,266.8783,547.2838
2041,265.2591,539.4186
2040,263.7667,531.6511
2039,262.5128,523.4577
2038,261.2442,515.6784
2037,260.0799,507.6205
2036,258.8858,499.7065
2035,257.7265,491.7328
2034,256.2627,484.2326
2033,254.769,476.4332
2032,253.6216,469.123
2031,252.4839,461.4174
2030,251.3289,453.9143
2029,250.4911,447.0955
2028,249.5627,440.49
2027,248.8795,433.5624
2026,248.477,426.913
2025,247.9629,419.5843
2024,246.8812,412.0611
2023,245.3524,403.8144
2022,242.8607,395.1623
2021,238.9409,384.6229
2020,232.9187,368.6058
2019,250.6617,382.2448
2018,250.3149,369.1431
2017,247.1893,355.2319
2016,244.965,341.3701
2015,243.7933,340.8405
2014,243.1432,340.5294
2013,244.2872,333.9728
2012,241.5248,326.8189
2011,243.8506,312.2453
2010,246.1195,295.4535
